Name,SpotifyID,MBID,Similar Artists
Nick Shoulders,4Vydw38lzh6aKIGqzZdwRS,8b1536e8-860e-41d0-90b1-8a067c9c326b,
Hank Williams,1FClsNYBUoNFtGgzeG74dW,Service Unavailable,
George Jackson,5PmB2ZWfKuqLb60qZdi4ys,Service Unavailable,
Explosions In The Sky,1uQWmt1OhuHGRKmZ2ZcL6p,4236acde-2ce2-441c-a3d4-38d55f1b5474,
Chris Stapleton,4YLtscXsxbVgi031ovDDdh,71d58182-aa37-4c04-b21a-efe46ea0f221,
Van Morrison,44NX2ffIYHr6D4n7RaZF7A,a41ac10f-0a56-4672-9161-b83f9b223559,
Jurassic 5,6wFId9Jhuf9AKVzWboOj2B,11c6b106-1c1f-429d-8407-b1ee155d7f72,
Covet,46iJ1VD4HKFnqjISGqlZkV,20b144e3-dd0e-4359-ae0c-0af7188c443b,
AC/DC,711MCceyCBcFnzjGY4Q7Un,66c662b6-6e2f-4930-8610-912e24c63ed1,
"Bobby ""Blue"" Bland",48nwxUvPJZkm8uPa7xMzmj,66ebc271-6a26-4fe7-848b-f217da119d92,
Study Fruits Music,2oZnFaS18A2HxgEQCRtdaA,Service Unavailable,
Eric Clapton,6PAt558ZEZl0DmdXlnjMgD,618b6900-0618-4f1e-b835-bccb17f84294,
Nathaniel Rateliff & The Night Sweats,02seUFsFQP7TH4hLrTj77o,52a4de43-92f5-4995-9a71-07d67dd35b7d,
Mdou Moctar,48dgx7iGqLQ3E5KO3pzd94,d85defaf-b82e-48be-beb5-2672099e392e,
The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,b071f9fa-14b0-4217-8e97-eb41da73f598,
Lofi Fruits Music,1dABGukgZ8XKKOdd2rVSHM,5cf751ad-ce64-447f-877b-cf467a594607,
"Crosby, Stills, Nash & Young",1CYsQCypByMVgnv17qsSbQ,46a782ea-4308-476b-abd1-a91b197f3037,
Kate Bush,1aSxMhuvixZ8h9dK9jIDwL,4b585938-f271-45e2-b19a-91c634b5e396,
St. Paul & The Broken Bones,4fXkvh05wFhuH77MfD4m9o,4486702e-7b26-43fd-babc-c0df7be0e1d9,
B.B. King,5xLSa7l4IV1gsQfhAMvl0U,dcb03ce3-67a5-4eb3-b2d1-2a12d93a38f3,
Color Green,42Aj8msFQ4idllOK09Jj8Z,1951caa6-cb19-4492-8abb-c4e138ac1e98,
Kikagaku Moyo,0hrb5WRiNlj8vh3WnCgXFq,3a605eba-b6a1-4298-855d-b3033df0bf8b,
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,f8796712-19fd-49ca-9cc7-99c30215b3cd,
Lord Huron,6ltzsmQQbmdoHHbLZ4ZN25,51c76d97-0635-433c-b26d-66beb81657f8,
